N,p_m,p_c,trn_size,iteration,generation,best_fitness,avg_fitness
100,0.05,0.02,20,0,164,-137.53945729601884,-229.58062184139553
100,0.05,0.02,20,0,165,-68.28972164382672,-186.2033311211836
100,0.05,0.02,20,0,166,-122.43416490252568,-192.52398664305971
100,0.05,0.02,20,0,167,-163.71219600798315,-213.75881261076617
100,0.05,0.02,20,0,168,-128.70318264754368,-202.2029378820072
100,0.05,0.02,20,0,169,-139.28317965096906,-216.10014008873847
100,0.05,0.02,20,0,170,-129.64876634922564,-217.26512625406178
100,0.05,0.02,20,0,171,-128.70318264754368,-202.4035718162577
100,0.05,0.02,20,0,172,-113.76474136094643,-220.01368012004409
100,0.05,0.02,20,0,173,-126.8187996428785,-225.0019661997762
100,0.05,0.02,20,0,174,-133.10405388322278,-215.9701924538588
100,0.05,0.02,20,0,175,-131.23851208678758,-215.94716867026483
100,0.05,0.02,20,0,176,-133.10405388322278,-206.2290228312974
100,0.05,0.02,20,0,177,-132.26812023536854,-214.1231380513095
100,0.05,0.02,20,0,178,-131.23851208678758,-217.79493195751326
100,0.05,0.02,20,0,179,-135.69463863518345,-226.39814589201524
100,0.05,0.02,20,0,180,-171.0,-219.08462183858748
100,0.05,0.02,20,0,181,-166.6476151587624,-223.1246235834647
100,0.05,0.02,20,0,182,-177.3545604508337,-227.81118631746568
100,0.05,0.02,20,0,183,-90.89117562233506,-220.93993921840297
100,0.05,0.02,20,0,184,-85.4400902933387,-230.0003852065056
100,0.05,0.02,20,0,185,-125.88027898781785,-221.17544382664843
100,0.05,0.02,20,0,186,-178.54894437575342,-222.10624647724978
100,0.05,0.02,20,0,187,-117.12748667179272,-227.97106168198866
100,0.05,0.02,20,0,188,-157.41307836451878,-234.45387342510702
100,0.05,0.02,20,0,189,-127.75981574503821,-208.4584712396242
100,0.05,0.02,20,0,190,-134.23149572268392,-230.5194842032122
100,0.05,0.02,20,0,191,-119.39543120718442,-208.1372747031247
100,0.05,0.02,20,0,192,-142.01063709417264,-219.54014603670086
100,0.05,0.02,20,0,193,-138.46648326421052,-219.89107959719604
